day,s_pace
2023-09-26,6.8284
2023-09-28,5.9203
2023-09-30,4.573
2023-10-02,6.2632
2023-10-03,5.6356
2023-10-06,5.5183
2023-10-08,5.11
2023-10-11,6.2346
2023-10-13,6.0798
2023-10-21,6.128
2023-11-01,5.9053
2023-11-14,7.9802
2024-02-02,6.8107
2024-02-10,7.9167
2024-02-12,7.204
2024-03-27,7.0343
2024-03-28,9.7788
2024-03-30,6.4518
2024-04-01,7.9849
2024-04-06,8.1459
2024-04-08,6.8774
2024-05-01,8.4042
2024-05-03,7.791
2024-05-07,7.3105
2024-05-09,6.48
2024-05-19,6.8163
2024-05-21,7.0833
2024-05-25,6.5564
2024-05-28,7.2966
2024-05-31,7.1256
2024-06-02,6.9429
2024-06-04,6.7552
