x,y
1,85.4
2,85.12
3,85.68
4,86.3
5,85.33
6,85.41
7,86.56
9,85.44
10,86.09
11,85.51
12,85.52
13,85.94
14,84.63
15,84.71
16,85.36
17,85.03
18,85.75
19,84.92
20,84.52
22,84.98
23,85.01
24,83.96
27,83.6
28,84.33
30,83.54
31,83.15
32,84.42
33,83.11
36,81.8
37,82.48
38,81.01
39,81.22
43,81.41
44,81.19
45,80.4
47,80.87
48,81.74
49,81.28
50,80.0
51,81.26
52,80.84
53,80.7
54,81.51
55,81.81
56,81.81
57,80.82
58,81.22
59,81.69
60,82.17
61,81.39
63,81.21
64,81.26
65,82.56
66,82.98
67,82.21
68,82.94
70,82.1
72,83.51
74,83.59
75,81.09
76,83.15
77,82.68
78,82.42
79,82.6
80,81.29
81,82.27
82,82.53
86,81.5
87,82.19
89,80.98
93,80.12
94,80.14
96,79.06
97,79.92
98,79.71
100,79.04
101,78.16
102,78.6
103,78.49
105,78.33
106,78.56
108,78.23
109,78.21
110,77.96
111,76.81
112,77.92
117,77.99
118,77.36
120,78.65
